Timestamp,Difficulty,Question Type,Correct,User Answer,Correct Answer
2024-12-24 10:38:10,Level 1,Same Value Probability (7),Correct,4/52,4/52
2024-12-24 10:38:36,Level 2,Different Suit and Value,Incorrect,10/52,44/51
2024-12-26 20:51:22,Level Percentage,Percentage for wr,Incorrect,3.0%,25.0%,3
2025-01-20 11:42:25,Level 1,Same Value Probability (Jack),Correct,4/52,4/52,1
2025-01-20 11:43:18,Level Percentage,Percentage for 4,Incorrect,25.0%,7.6923076923076925%,3
2025-01-20 11:48:33,Level Percentage,Percentage for face cards,Incorrect,13.7%,23.076923076923077%,3
2025-01-20 11:52:32,Level Percentage,Percentage for 23,Incorrect,3.0%,7.6923076923076925%,3
2025-01-20 11:53:14,Level Percentage,Percentage for face cards,Incorrect,4.6%,23.076923076923077%,3
2025-01-20 11:56:17,Level Percentage,Percentage for 1.2,Incorrect,4.5%,7.6923076923076925%,3
2025-01-20 11:58:40,Level Percentage,Percentage for 25.0,Correct,25.0%,25.0%,1
2025-01-20 11:59:11,Level Percentage,Percentage for face cards,Incorrect,32.6%,23.076923076923077%,3
2025-01-20 12:01:15,Level Percentage,Percentage for 2.4,Incorrect,3.5%,7.6923076923076925%,3
2025-01-20 12:04:52,Level Percentage,Percentage for 25,Correct,25.0%,25.0%,1
2025-01-20 12:05:22,Level Percentage,Percentage for 8,Incorrect,3.5%,7.6923076923076925%,3
2025-01-20 12:07:10,Level Percentage,Percentage for jack,Incorrect,3.8%,7.6923076923076925%,3
2025-01-20 12:11:49,Level Percentage,Percentage for ace,Correct,7.69%,7.6923076923076925%,2
2025-01-20 12:12:09,Level Percentage,Percentage for face cards,Incorrect,5.8%,23.076923076923077%,3
2025-01-20 12:12:41,Level Percentage,Percentage for face cards,Correct,23.0%,23.076923076923077%,2
2025-01-20 12:13:32,Level Percentage,Percentage for clubs,Correct,25.0%,25.0%,1
2025-01-20 12:13:56,Level Percentage,Percentage for 2,Incorrect,2.4%,7.6923076923076925%,3
2025-01-20 12:18:31,Level Percentage,Percentage for Jack,Correct,8%,8%,1
2025-01-20 12:20:32,Level Percentage,Percentage for Ace,Correct,8%,8%,1
2025-01-20 12:31:37,Level Percentage,Percentage for King,Incorrect,4%,8%,3
2025-01-20 12:32:05,Level 2,Same Value After Draw (Jack),Incorrect,3/5,3/51,3
2025-01-20 12:32:32,Level 3,Three of a Kind Probability,Incorrect,564/3,0/50,3
2025-01-20 12:32:58,Level Percentage,Percentage for 3,Correct,8%,8%,3
2025-01-20 17:42:55,Level 1,Percentage Calculation,Correct,,,1
2025-01-20 17:43:08,Level 1,Percentage Calculation,Correct,,,1
2025-01-20 17:47:16,Level 1,Probability for jack,Correct,1/13,1/13,1
2025-01-20 17:47:49,Level 1,Probability for jack,Incorrect,4/53,1/13,3
2025-01-20 17:48:19,Level 1,Probability for hearts,Incorrect,1/46,1/52,3
2025-01-20 17:49:10,Level 1,Percentage Calculation,Correct,,,1
2025-01-20 17:56:01,Level 1,Probability for 3,Correct,1/52,1/52,1
2025-01-20 20:48:37,Level 1,Probability for 6,Incorrect,/43,1/52,3
2025-01-24 14:58:46,Level 1,Probability for Ace,Correct,1/13,1/13,1
2025-01-24 14:59:16,Level 1,Probability for heart,Incorrect,2/5,1/4,3
2025-01-24 14:59:27,Level 1,Percentage Calculation,Correct,,,1
2025-01-24 15:05:57,Level 1,Percentage Calculation,Correct,,,1
2025-01-24 15:10:46,Level 1,Percentage Calculation,Correct,,,1
2025-01-24 15:14:16,Level 1,Percentage Calculation,Correct,7.7,7.69%,2
2025-01-24 18:52:40,Level 1,Percentage Calculation,Correct,25.0,25.00%,1
2025-01-25 13:33:51,Level 1,Probability for ace of hearts,Incorrect,245/6,1/52,3
2025-01-25 13:34:32,Level 1,Percentage Calculation,Incorrect,3.68,7.69%,3
2025-04-30 23:22:57,Level 1,Probability for jack,Correct,1/13,1/13,3
